,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
404,-0.1476,0.163,-0.905,0.365,-0.467,0.172,0.3653872575507219,weakPos,5,DPB1*01:01,HLA-HD,1.0,-0.0
405,-0.2069,0.165,-1.257,0.209,-0.529,0.116,0.20862092298250112,weakPos,6,DPB1*01:01,HLA-HD,1.0,-0.0
406,-0.3715,0.162,-2.289,0.022,-0.69,-0.053,0.022085961833748644,weakPos,7,DPB1*01:01,HLA-HD,1.0,-0.0
407,-0.2539,0.162,-1.565,0.118,-0.572,0.064,0.11752307359954574,weakPos,8,DPB1*01:01,HLA-HD,1.0,-0.0
408,-0.2181,0.161,-1.354,0.176,-0.534,0.098,0.17574699006174577,weakPos,9,DPB1*01:01,HLA-HD,1.0,-0.0
409,-0.1349,0.159,-0.85,0.395,-0.446,0.176,0.39526002068207944,weakPos,10,DPB1*01:01,HLA-HD,1.0,-0.0
410,-0.3204,0.158,-2.024,0.043,-0.631,-0.01,0.04297751102016775,weakPos,11,DPB1*01:01,HLA-HD,1.0,-0.0
411,-0.1344,0.157,-0.854,0.393,-0.443,0.174,0.39314415173540274,weakPos,12,DPB1*01:01,HLA-HD,1.0,-0.0
412,-0.2906,0.161,-1.801,0.072,-0.607,0.026,0.07174836325691131,weakPos,13,DPB1*01:01,HLA-HD,1.0,-0.0
413,-0.3354,0.162,-2.077,0.038,-0.652,-0.019,0.037822911539881786,weakPos,14,DPB1*01:01,HLA-HD,1.0,-0.0
414,-0.0507,0.157,-0.324,0.746,-0.358,0.257,0.7462370850258053,weakPos,15,DPB1*01:01,HLA-HD,1.0,-0.0
415,-0.193,0.161,-1.197,0.231,-0.509,0.123,0.23112850731454304,weakPos,16,DPB1*01:01,HLA-HD,1.0,-0.0
416,-0.3293,0.168,-1.959,0.05,-0.659,9.41e-05,0.050065506691268004,weakPos,17,DPB1*01:01,HLA-HD,1.0,-0.0
417,-0.1522,0.162,-0.937,0.349,-0.471,0.166,0.3487060681250497,weakPos,18,DPB1*01:01,HLA-HD,1.0,-0.0
418,-0.2534,0.167,-1.52,0.129,-0.58,0.073,0.1285439440426273,weakPos,19,DPB1*01:01,HLA-HD,1.0,-0.0
419,-0.2787,0.159,-1.755,0.079,-0.59,0.032,0.07918389216222413,weakPos,20,DPB1*01:01,HLA-HD,1.0,-0.0
420,-0.3069,0.162,-1.894,0.058,-0.625,0.011,0.058261039316541544,weakPos,21,DPB1*01:01,HLA-HD,1.0,-0.0
421,-0.2047,0.163,-1.257,0.209,-0.524,0.115,0.20886198507651443,weakPos,22,DPB1*01:01,HLA-HD,1.0,-0.0
422,-0.1917,0.155,-1.237,0.216,-0.495,0.112,0.21601435481362496,weakPos,23,DPB1*01:01,HLA-HD,1.0,-0.0
423,-0.0028,0.161,-0.018,0.986,-0.318,0.312,0.9859625325468966,weakPos,24,DPB1*01:01,HLA-HD,1.0,-0.0
