,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
426,-0.0493,0.219,-0.225,0.822,-0.478,0.379,0.8217397612225237,weakPos,27,DPB1*01:01,HLA-HD,1.0,-0.0
427,-0.2994,0.223,-1.343,0.179,-0.736,0.138,0.17935810795029938,weakPos,28,DPB1*01:01,HLA-HD,1.0,-0.0
428,-0.1164,0.213,-0.547,0.584,-0.534,0.301,0.5842832245769158,weakPos,29,DPB1*01:01,HLA-HD,1.0,-0.0
429,-0.0542,0.221,-0.245,0.806,-0.488,0.379,0.8064470978504604,weakPos,30,DPB1*01:01,HLA-HD,1.0,-0.0
430,0.0973,0.206,0.472,0.637,-0.307,0.502,0.6371354315478585,weakPos,31,DPB1*01:01,HLA-HD,1.0,-0.0
431,-0.2024,0.218,-0.927,0.354,-0.63,0.226,0.35397533623874133,weakPos,32,DPB1*01:01,HLA-HD,1.0,-0.0
432,-0.3667,0.221,-1.661,0.097,-0.799,0.066,0.09670776477409644,weakPos,33,DPB1*01:01,HLA-HD,1.0,-0.0
433,-0.1323,0.217,-0.608,0.543,-0.558,0.294,0.5430471293591581,weakPos,34,DPB1*01:01,HLA-HD,1.0,-0.0
434,0.3543,0.213,1.666,0.096,-0.062,0.771,0.09565772744878441,weakPos,35,DPB1*01:01,HLA-HD,1.0,-0.0
435,-0.0168,0.216,-0.078,0.938,-0.44,0.406,0.9378259531776075,weakPos,36,DPB1*01:01,HLA-HD,1.0,-0.0
436,-0.1956,0.223,-0.878,0.38,-0.632,0.241,0.3800051249592138,weakPos,37,DPB1*01:01,HLA-HD,1.0,-0.0
437,0.0181,0.22,0.082,0.935,-0.414,0.45,0.9345627406481564,weakPos,38,DPB1*01:01,HLA-HD,1.0,-0.0
438,-0.5339,0.222,-2.404,0.016,-0.969,-0.099,0.016234275106408857,weakPos,39,DPB1*01:01,HLA-HD,1.0,-0.0
439,-0.0362,0.214,-0.169,0.866,-0.456,0.383,0.8656803316370624,weakPos,40,DPB1*01:01,HLA-HD,1.0,-0.0
440,0.1107,0.212,0.523,0.601,-0.304,0.526,0.6011651723931121,weakPos,41,DPB1*01:01,HLA-HD,1.0,-0.0
441,-0.2313,0.228,-1.013,0.311,-0.679,0.216,0.3108976821415044,weakPos,42,DPB1*01:01,HLA-HD,1.0,-0.0
442,0.1118,0.216,0.516,0.606,-0.312,0.536,0.6055907358958708,weakPos,43,DPB1*01:01,HLA-HD,1.0,-0.0
